description,category,civic_issue
"The problem is that the garbage cleaners put the garbage waste here and they go, because of this people get disturbed and the cannot walk properly in pedestian path.",Waste/Garbage,1
Make this water logging area clean and make this road to a good condition.,Water,1
All the people are throwing garbage in the land,Waste/Garbage,1
There are many potholes in my area. They need to be repaired immediately.,Potholes,1
Very nasty area.,Waste/Garbage,1
See how the road s are they have a lot of black holes in it . It is not safe to travel on these roads,Waste/Garbage,1
"Auto rickshaw repairs in the road and cars alsol
",Traffic/Parking,1
"Water. 
",Water,1
"Our street dustbin is placed in the middle of the street . So everyone are too lazy to come and put in the dustbin so they are putting it on the road itself. It is also not cleared away  properly
",Waste/Garbage,1
"The problem is that the container is used for washing the hands but, mpst of the mosquitos sit and lay eggs. This causes many infectious disease in our locality. This has to be stopped.",Water,1
Big hole pls repair it,Potholes,1
If we clear this garbage dumb it may avoid many sicknesses this will help us have a clean society ,Waste/Garbage,1
Please clear roadside dust bins,Waste/Garbage,1
They do not recycle  the garbages,Streetlights,1
There are lots of roadside garbage which are not cleand at all in my locality,Waste/Garbage,1
Emptying of garbage can not done and can cause diseases ,Waste/Garbage,1
Footpath damaged.  Open to main sewer.,Potholes,1
Garbage dump on footpath,Waste/Garbage,1
"In our area ,the wires are dangled and electricity is not coming properly",Streetlights,1
"In our area ,we collected some garbage lying on the roads",Waste/Garbage,1
 We collected some garbage lying on the roads,Waste/Garbage,1
Garbage bags and  waste materials near the roadside plants,Waste/Garbage,1
"This road junction is used by  college and schools children, just for small rain yesterday there is water logging. Kids are finding difficult 
",Water,1
"There is  plastic bags lying in the walking area
",Water,1
"Garbages are thrown in street sides
",Waste/Garbage,1
In our street the electric pole is fallen due to that short circuit is occurring and often current is going please do the need our street people have complained many times but no action was taken,Streetlights,1
Plastics are dumped in road sides,Waste/Garbage,1
Please clear the garbage spreading around the bin and there is a row of fish market near that and it will affect the people coming there,Waste/Garbage,1
"The problem is that the construction people keep thier construction materials thereby and go, this disturbs the citizens who are waking in pedestian path.",Traffic/Parking,1
Dustbins should be installed on all roads,Waste/Garbage,1
The garbage is dumped in a vacant land's pit which is dug for a boar well,Waste/Garbage,1
Dustbins should be cleared for every 2 days,Waste/Garbage,1
Dustbins should be installed on all roads and should be maintained ,Waste/Garbage,1
"Near my house, some cars have been parked in line which is not a legal parking area. People are going restroom in these places which makes my neighbour hood unhygiene. I want the problem to be solved",Traffic/Parking,1
All are throwing waste near the dustbin and not putting the waste in the dustbin,Waste/Garbage,1
Dustbins on road side should be regularly be collected,Waste/Garbage,1
Garbage on road side should be cleared,Waste/Garbage,1
Garbages are dumped here so that it stinks a lot so pls put green bin and blue bin for use,Waste/Garbage,1
We want another bin because all three bins are full and no is collecting it so people are putting it beside,Waste/Garbage,1
Dustbins should be regularly be collected,Waste/Garbage,1
Garbages should NBC collect ed daily by gcc so that the area will be clean u can see there is over flowing of garbages ,Waste/Garbage,1
Garbages are put on road and making it unclean I request to put a roadside bin here,Waste/Garbage,1
These wires are too dangerous when it is hanging on to roads.it may also cause accident.whrn it rains the current from wire cause shock to people.so these wires should be maintained properly.........,Streetlights,1
Roadside bin is not there in this. Road so that people was carelessly put garbages by the roadside and pls put a bin,Waste/Garbage,1
Garbages put in bin are not collected and the cattles grazing here are eating the food inside it so pls collect the garbages in the bin and put a new bin for use,Waste/Garbage,1
Every drop of water is precious.so it should be saved.we have to prevent water leaking from taps.today in India we are suffering without water. So it should be saved.,Streetlights,1
Residents here are putting garbage putsisde the bin as the bin was uncollected for several months so pls collect waste and put a new bin,Waste/Garbage,1
Suage is not cleaned properally,Sewage,1
Garbage not in its place,Waste/Garbage,1
Its not in the dustbin,Waste/Garbage,1
Roadside bin fully loaded with waste so pls clean the waste as soon as possible because cows are eating food and put a new bin for use,Waste/Garbage,1
If we break traffic signal it leads to accident.so we need to obey the rules.if we obey the rules it saves lives.obeying rules is not a big matter......,Streetlights,1
Not in its place,Waste/Garbage,1
How can the auto move??,Waste/Garbage,1
"Roadside bin is required here as they are putting garbage outside so pls collect the garbage in this place
",Waste/Garbage,1
Garbage bins are fulllll,Waste/Garbage,1
Our environment????????,Waste/Garbage,1
This cow is going to get ill,Waste/Garbage,1
Bin must to be cleaned as it is fully dumped at here are garbages outside it also so that pls collect waste and put new bin,Waste/Garbage,1
My problem is that the garbage is being dumped on the road.it should be dumped in the bins.if anyone dumps on road they should be fined....,Waste/Garbage,1
This causes soil pollution,Waste/Garbage,1
The trees!!!????,Waste/Garbage,1
From house there is food waste put down on the road we should make the rules tight and should put a roadside bin,Waste/Garbage,1
Garbage are put around the bin because  the bin is full and uncollected by gcc so pls put a new bin,Waste/Garbage,1
Alot of them here as well,Waste/Garbage,1
Bin is full and not collected for several decades so pls put a new as the old is in very bad condition and collect waste pls,Waste/Garbage,1
It's a mini dumpyard,Waste/Garbage,1
Garbages are dumped here and are not collected for many months so pls put a new bin and collect the waste!!!!,Waste/Garbage,1
Dustbins on road side should be regularly be collected,Waste/Garbage,1
Garbages are put near trees because they are lazy so for their laziness pls put a new bin ,Waste/Garbage,1
Plants are cut are put near bin so that they show how lazy so pls put more bins,Waste/Garbage,1
These sewage lines create a lot of problems,Sewage,1
Opposite to my house there is a transform so people are throwing garbage under the transform and the cats rats dogs are coming to our house so please take action and solve this problem,Waste/Garbage,1
It is very stinky. Many mosquitoes are breeding.,Waste/Garbage,1
Water taps are leaking because they are like this when they fixed the tap so pls do something so that we will benefit,Water,1
Garbage is there,Waste/Garbage,1
Garbages are there,Waste/Garbage,1
Opposite of our house we are having a garbage dumping. Often from there we are getting mosquitoes and flies. It is very difficult for us.,Waste/Garbage,1
Water from taps are leaking as they are left carelessly because of it 500ltrs of water is wasted,Water,1
Water from taps are leaking because it is opened years before so now it drips of water is down ,Water,1
"Many people are turning in wrongly in wrong route. they even dashed my car when an sudden turn, many accidents are occuring.so please take care.thank you.",Streetlights,1
It is too difficult to escape from the smoke coming from vechiles.in the above pic we can see that the person driving is feeling too difficult to ride.solution is to service vechile regularly.........,Traffic/Parking,1
Garbages are there,Waste/Garbage,1
Clear this,Waste/Garbage,1
Guindy,Waste/Garbage,1
Anna nagar,Waste/Garbage,1
Dry leaves are therr,Waste/Garbage,1
Bad smell is coming,Waste/Garbage,1
"Plastic objects are littered near my home. It has to be cle
aned",Waste/Garbage,1
Dav,Waste/Garbage,1
Dav,Waste/Garbage,1
Garbages are there,Waste/Garbage,1
Road is not proper,Potholes,1
Many garbage are dumped near my friend' s home.it has to be cleaned,Waste/Garbage,1
Many cups are thrown near my home.,Waste/Garbage,1
It is very stinky.because of this many mosquito are breeding.it makes our country dirty.many of the people are getting diseases. Cows eat this and they die.so it very important to clean this.,Waste/Garbage,1
This is a consistent spot where garbage is dumped,Waste/Garbage,1
Garbage are there in the road.it is very stinky.because of this many mosquito are breeding.it makes our country dirty.when cows eat this they will die.so it is important to clean this.,Waste/Garbage,1
"One sliper is missed 
 ",Traffic/Parking,1
The main problem of waterlogging come to the people walking or standing in the road...car or the bike splashes the water and the person standing there gets dirty...no action still taken,Water,1
"Please save the precious water. In an apartment in Mowliwakkam, Chennai the residents saved 1000 litres of water.",Water,1
The animals are eating overflow of garbage,Waste/Garbage,1
The main issue for the people riding vehicles is the potholes especially in the middle of the road...this pothole is also one of the same type...no actions still taken...,Potholes,1
It is dumped near my friend's house,Waste/Garbage,1
This manhole is extended from one end of the road to the other end of the road...many people have complained but no action still taken...many accidents have happened because of this manhole...,Potholes,1
It is dumped near my house.,Waste/Garbage,1
When it rains in our area the wats er is staged.because of the road .Please make the road proper.,Water,1
This is a very deep pothole and because water is flooded inside some of the people move on it ...but they don't understand that there is a huge pothole in it and because of rain the water is flooded..,Water,1
Whenever there is rain this area becomes like a swimming pool...water splashes.... people get dirty...walls of houses become dirty...no action still taken...,Water,1
Do not waste papers as this is made from tree and the tree is very important. And so to save plants do not waste papers.,Waste/Garbage,1
This road is the worst road I have ever seen...this road is fully damaged...a new road should be laied on ...people find very difficult to travel from this road...pls take some actions...,Potholes,1
There is a huge pit in the middle of the road,Waste/Garbage,1
Do not waste water as it is so important for us. Please close the tap after use.,Water,1
Please clean ???? it,Waste/Garbage,1
Some garbage is thrown here for the past one month...most of the stray dogs come here and urinate here...while passing this road a bad smell comes from the garbage...pls take action..,Waste/Garbage,1
Please keep a police ????‍♂️ there rounds so that no ☝️ will park there,Traffic/Parking,1
Garbage found nearby home,Waste/Garbage,1
Please insist them to not to their vehicle ???? over here,Traffic/Parking,1
These are dumped near home,Waste/Garbage,1
Garbage being dumped here effects the traffic also people find it so difficult to move around the place.the waste occupies half the road and the rest are taken by the vehicles,Waste/Garbage,1
Manhole is at a higher level than the road. Stormwater is not getting drained because of this poor design.,Potholes,1
Please lay a road on it,Potholes,1
Drainage water clogged near roadside causing disturbance... Children cannot play freely.this needs to be cleared,Water,1
Garbage is dumped nearby my home,Waste/Garbage,1
Garbage is dumped nearby my home.,Waste/Garbage,1
"There is a drain hole which has gone inside and 
they have laid the road above it so there's big bump many people have fallen down while traveling in their two wheeler including me",Potholes,1
The alto car is parked is parked in the area of no parking and leads to traffic jams .......The car owner should be severely punished and should be given a sum of fine for the non parking users ,Traffic/Parking,1
It is difficult to walk and drive here,Potholes,1
It is difficult in night. Afraid of thief,Streetlights,1
It is difficult in night. Afraid of thief.,Streetlights,1
People are always dumping excess waste near the bins. To avoid this we need collection of door to door garbage.,Waste/Garbage,1
This tubelight is not working. It has to be repaired or removed,Streetlights,1
This footpath is badly damaged. It has to be replaced by New tiles,Water,1
This footpath needs to be replaced by New tiles,Water,1
This pothole is a disturbence.,Potholes,1
Potholes  on roads (4th avenue  anna nagar) creating  danger for vehicles.,Potholes,1
Our street lights are broken.,Streetlights,1
"In our area, people are throwing garbage in the vacant land. Please kindly take steps regarding this issue.",Waste/Garbage,1
Help to clear garbage . It smells so stinky,Waste/Garbage,1
Help to clear garbage . It smells so stinky,Waste/Garbage,1
Help to clear garbage.,Waste/Garbage,1
Help to clear garbage,Waste/Garbage,1
Garbage are dumped on roadside in our area. It is very harmful to the people. So please kindly take steps to clear it.,Waste/Garbage,1
Help,Waste/Garbage,1
Dumps are not cleared,Waste/Garbage,1
Lots of garbage.,Waste/Garbage,1
Lots of garbage.,Waste/Garbage,1
Lots of garbage.,Waste/Garbage,1
Almost all the water lorries in Chennai have water leaking from under them. This should be stopped.,Water,1
Lots of garbage.,Waste/Garbage,1
Filled dustbin.,Waste/Garbage,1
There is a garbage dump in this location.it is stinking and not cleared,Waste/Garbage,1
There is a garbage dump in this location.it is stinking and could be able to spread disease .,Waste/Garbage,1
School going road dumped with black sand ,Waste/Garbage,1
Might create a accident,Traffic/Parking,1
There is a garbage dump in vacant land in my location.,Waste/Garbage,1
There is a garbage dump not cleared in Anna nagar tower Park. This can cause many problems like spread of disease.,Waste/Garbage,1
Lots of garbage.,Waste/Garbage,1
It fell down while driving two wheeler,Streetlights,1
Lot of garbage.,Waste/Garbage,1
Lots of garbage.,Waste/Garbage,1
Mogappair,Waste/Garbage,1
Near my house all the people are throwing the garbage out of the dustbin and it is very difficult to collect the garbage persons . It is very hard that the people have a big work colectin the garbage.,Waste/Garbage,1
"Garbage

",Waste/Garbage,1
This tubelight is not working. It has to be repaired,Streetlights,1
Manhole caving down with dangling electrical cables making it dangerous for people walking at night or in the dark.,Potholes,1
Garbage,Waste/Garbage,1
The footpath is badly damaged. It has to be replaced by New tiles,Water,1
Potholes,Potholes,1
Garbage are overflowing from the bin .so many problems people are getting by this issue,Waste/Garbage,1
Garbage is dumped nearby my home. It has to be cleaned,Waste/Garbage,1
Garbage,Waste/Garbage,1
There is a garbage dump in the sewage passage so the rain water gets staggered  on the road,Waste/Garbage,1
There is a government tap in my location which provides water to the near by locality people.this is leaking for nearly one month.,Water,1
"Koyembedu
",Waste/Garbage,1
There is a garbage dump in vacant land in my location.,Waste/Garbage,1
There is a garbage dump not cleared in Anna nagar.,Waste/Garbage,1
There is a garbage dump in the sewage passage so the rain water gets tagged on the road.,Waste/Garbage,1
There is a garbage dump not cleared in Anna nagar,Waste/Garbage,1
No water. So please don't waste water,Water,1
There are some cars parked on the footpath. ,Traffic/Parking,1
"This is the car accident .
The car as been damaged,the damaged car can't be reused",Traffic/Parking,1
There is a leaking sewage in my location,Sewage,1
Over crowd at Kancheepuram Athi Varadar temple.So please make some arrangements.regards DAV boys school Mogappair.,Potholes,1
There is big pothole in Anna nagar roundanna.,Potholes,1
It was not repaired for 1 month  all ways in low volt age,Streetlights,1
There is traffic problem in my location. This is causing air pollution.,Air,1
Traffic lights not working,Streetlights,1
Last night rain water still lying in road,Water,1
Many cars are parked on the road. In the santhosh super market. This is causing many accidents. ,Traffic/Parking,1
Please try to clear it.i will try my best to clear it,Waste/Garbage,1
Lot of garbage dumping in open in Road,Waste/Garbage,1
The garbage dumping in our area has got increased but not decreased .I have already reported a issue about this but no action has not been took .the cows are eating the plastic and a cow died.,Waste/Garbage,1
No streets light ,Streetlights,1
It is hotel where customers are not closing the tap,Water,1
If there are no vehicle in road there will no traffic,Traffic/Parking,1
"Garbage truck is not coming because of it dengue and malaria disease separate to adults, children and young people make place in street like this happening in make place",Waste/Garbage,1
Damaged road in our locality is causing many problems,Potholes,1
If there is no vehicle on road there will be no traffic,Traffic/Parking,1
If there are no vehicle there will be no traffic ,Traffic/Parking,1
Clear,Waste/Garbage,1
If there are no vehicle there will be no traffic ,Traffic/Parking,1
Koyembedu,Waste/Garbage,1
This leads to scarcity of water by plastic dumped in lakes,Waste/Garbage,1
Garbage dumped in an open Land,Waste/Garbage,1
"If there are no vehicle parked on road, there will be no traffic ",Traffic/Parking,1
"Water was logging on the street.
We found it difficult to walk.",Water,1
Not cleared the roadside bin,Waste/Garbage,1
Over flowing and damaged garbage bin attracts lots of flies,Waste/Garbage,1
"The road is very damaged and very slopy.Many vehicles are finding very difficult to drive on it. Whenever it rains,it is waterlogged and very dangerous to drive.",Water,1
Drainage problem,Waste/Garbage,1
Traffic signal not working,Streetlights,1
"Our neighbours  are not allowing us to park our car  in our street.
       By:s.priyanka6e


",Traffic/Parking,1
"Garbage
",Waste/Garbage,1
There is leakage from broken sewage lines near the  D. A. V Girls Senior Secondary school Mogappair which has to be fixed.,Sewage,1
Oh my god!!This manhole is soo big and also soo deep..how can people adjust with this manhole...some people find very difficult to travel on this road...no action is still taken...,Potholes,1
"Dustbins were not cleared off at regular intervals and there by causing mess off garbage spilled off, making it more polluted",Waste/Garbage,1
Waste are thrown outside the dustbinif full corporation is not cleaning it...,Waste/Garbage,1
This it a very pig pothole...I accept that it is not too deep but u can see the lines of the tyres of the cars and bikes..one accident just happened in front of me...pls take some severe action,Potholes,1
My goodness!! A big and a deep hole connected from one end of the road to the other end..people would find very difficult to travel from this road..severe action should be taken....,Potholes,1
We can see there are garbage in an empty spot .even    I insisted people but some of the people didn't listen to that and puts one time use plastics in there,Waste/Garbage,1
Put the waste in dustbins,Waste/Garbage,1
People dump a lot of garbage here. The Buckingham canal has turned into a sewer providing homes for various harmful bacteria. It is not a hygrnic place for people to live.,Waste/Garbage,1
No street light in roads .,Streetlights,1
This manhole is the worst I have ever seen...it is located in the middle of the road and has caused many accidents..I have also fell once in this pothole...no action still taken...,Potholes,1
Put the plastic in dustbins not in roads.,Waste/Garbage,1
Garbage dumped in vacant lot,Waste/Garbage,1
What will happen if it falls on our head.,Streetlights,1
OMG! Cows are eating the plastic.,Waste/Garbage,1
Put the waste in dustbins.,Waste/Garbage,1
Waste is spread over the roads.,Waste/Garbage,1
"This one of the worst issue I have seen in my area,the sewage lines have been cut,the water flows in it without any sewage pipe and the most worst thing ,people throw garbage in this sewage...",Sewage,1
People are getting backpain because of this.,Potholes,1
This is the worst issue in my area..the sewage lines have been cut and the garbage is also thrown in the sewage line...good house for the stray dogs also..strict action should be taken...,Sewage,1
The car is parked in wrong place. ,Traffic/Parking,1
Water is flooding of roads.,Water,1
This is the worst manhole especially for the people who will ride bike or scooters from here..they almost fall down...water also gets logged here many times..action should be taken..,Potholes,1
The pothole is blocking the way and many times big vehicles have stuck in this manhole.,Potholes,1
This the photo of the manhole ???? of my locality.this makes many accidents happen here .please fix it as soon as possible.,Potholes,1
Ohmy good..first of all it is a very big pothole and it is logged with too much of water..this should be repaired as soon as possible...we can save many lives from repairing this pothole....,Water,1
This the photo of my locality.this photo was 2 weeks before and situations continues .please fix it as soon as possible.,Potholes,1
This is a broken drainage which disturbs while going on the way. So please repair it. ,Potholes,1
"This is the photo of my locality.this is the manhole ???? in a turning of a road .which is a very crucial part of the road ,so please fix it as soon as possible.",Potholes,1
This the photo was taken in my locality a few weeks ago. This is the most worst problem because most vehicles wheels gets struck,Potholes,1
Garbage dumped in black spot,Waste/Garbage,1
The tap is leaking and many drops of water are wasting without any use. ,Water,1
This is the photo taken very recently. There is only little bit but it really stinks ????.so please clean ???? it as soon as possible .,Waste/Garbage,1
Clearance of roadside dustbin ,Waste/Garbage,1
This is the photo taken by me .which is very very dangerous for riders of bike ???? and ????.few weeks ago a bus ???? wheel got struck in this hole ???? .so please fix it as soon as possible.,Potholes,1
My report is about the roads.these roads are in very bad condition.it may also leads to accident.do these roads should be repaired.....,Potholes,1
In our area there's a huge amount of garbage dump due to this there's a stinky smell and we are facing huge problems the cows are eating  plastics please take possible action ,Waste/Garbage,1
This is the photo taken in my locality. This is the corner of one of the main road . So please fix it as soon as possible.,Potholes,1
This is the photo taken in my locality .In front of the Petrol ⛽️ bunk . So please fix it as soon as possible.,Potholes,1
Garbage ???? has been dumbed in a vacant land.it really stinks ????.so please clean ???? it as soon as possible.,Waste/Garbage,1
Manholes are open,Potholes,1
My report is about saving electricity.if we don't save electricity our natural get wasted.for generating electricity we need to burn electricity.......,Streetlights,1
It cause bad smell and diseases. It is difficult to walk on the road. ,Water,1
In our in our area the garbages are not well equipped because because of that area people are suffering and stinky smell coming from the garbage please take action,Waste/Garbage,1
the garbage in our areas dumped and it is very difficult for people to cross the way it is very it is getting stinky smell please take the necessary action,Waste/Garbage,1
This is the most place in our area which is polluted the government employees doesn't check every day so it's Finally had became a mess like thing,Waste/Garbage,1
"In our area  the street lights not working so that  many robbery is  happening  so please take measures to repair the streetlights many people are suffering due to un maintenance of street lights
",Streetlights,1
Stormwater Gutter Guard is broken. It should be  replaced immediately to avoid accidents.,Potholes,1
the electric pole is fallen down and not due to this there are often current breaking and people are getting suffering  repair this as soon as possible please take the required actions,Streetlights,1
A clinic named Sadayush Care and Cure is facing problems due to garbage thrown next to the compound wall. Many patients reported gastrointestinal problems due to a lot of houseflies.,Waste/Garbage,1
A clinic named Sadayush Care and Cure is facing problems due to garbage thrown next to its compound wall infecting patients who have reported gastrointestinal problems due to houseflies.,Waste/Garbage,1
"Garbage 
",Waste/Garbage,1
Dranige system is not proper in Mogappair west ,Water,1
The traffic signal is not working for many months,Streetlights,1
The garbages are dumping out and the animals are eating ,Waste/Garbage,1
There is a garbage dump in vacant land in my location. ,Waste/Garbage,1
This very big patholes,Potholes,1
There is open overflowing sewage line in my location.,Sewage,1
Garbages are dumping it off the bin,Waste/Garbage,1
There is collected garbage kept In front of a house. This could cause many problems. ,Waste/Garbage,1
There is a garbage dump in vacant land in the Eb office Anna nagar ,Waste/Garbage,1
There is a garbage dump in my location uncleared for many days,Waste/Garbage,1
There is a broken foot parth near santhosh super market. This is causing many problems like logging water when it rains,Water,1
In our area there are many wires dangling around the houses.,Streetlights,1
There is the electricity cable lying on the footpath. This should be prevented. This can cause many problems. ,Streetlights,1
The little water left at hotels get wasted,Water,1
During rainy time its very difficult to travel,Water,1
There is a garbage dump not cleared in Anna nagar tower Park. ,Waste/Garbage,1
Manhole in the center of the road.  Makes it dangerous when rain water fills in it.,Potholes,1
There is a garbage dump not cleared in my location ,Waste/Garbage,1
Clogging of road. ,Water,1
There is a garbage dump in vacant land in my location ,Waste/Garbage,1
There is a garbage dump in vacant land in my location ,Waste/Garbage,1
"There is a leaking sewage in my location 
",Sewage,1
Garnage lying near public road,Waste/Garbage,1
It make the public irritate bale.Some cars are parked in front of shops and schools .Some times it makes accidents to us,Traffic/Parking,1
This manhole is open and left out far many years,Potholes,1
Can dump garbage into the bins,Waste/Garbage,1
This waterlogged road is very difficult for crossing for the people,Water,1
Lots of garbage. ,Waste/Garbage,1
Potholes. ,Potholes,1
This is dangling here. When we cross the road by walk-in we may slip. So please repair it.,Streetlights,1
There is a transformer near this waterlogged place and it is highly risky to cross this area and many crows die and fall on the road due to this,Water,1
These  garbages are dumped in an empty land,Waste/Garbage,1
Many mosquitoes are breeding. It is very stinky.,Waste/Garbage,1
Some are keeping food for the crows on the pulic places and this falls down and makes the place mess. ,Waste/Garbage,1
Due to this mess in our area... Lot  of people r suffering from disease....,Waste/Garbage,1
Plastic garages all over the street.,Waste/Garbage,1
Cutting the trees.,Waste/Garbage,1
"Water logging in potholes
",Potholes,1
Garbage dump,Waste/Garbage,1
When they are taking away the garbage tgey spill everywhere. ,Waste/Garbage,1
Final checkup,Waste/Garbage,1
Garbage is being dumped on roads. Need to run more campaigns,Waste/Garbage,1
"Due to rain showers, just showers cause stagnation of water in our local. These waterlogging causes  lots of problems. Breeding of mosquitoes are massively spreading.",Water,1
There is a section where the road has collapsed making it a pothole,Potholes,1
Water pooling,Water,1
Dumps with water logging,Water,1
Many storns trown in the school  foot path,Streetlights,1
Wrong parking in the school foot path,Traffic/Parking,1
Rain water is wasted and this makes mosquito breed,Streetlights,1
Going urine in the public places,Streetlights,1
They are putting garbage in open land which gives bad odour some are putting the boxes of food waste please report this case,Waste/Garbage,1
"The problem is that people throw the garbage in the vaccant lot of land, this has to cleaned.",Waste/Garbage,1
There is a garbage dump near THADHANKUPPAM  which is over flowing and has hole in it the people living in that area are suffering from bad smell.,Waste/Garbage,1
Open sewage,Sewage,1
There is a pothole,Potholes,1
As there are water in the plain land we can't play and people can't build land there as there are garbage.,Water,1
Garages are there,Waste/Garbage,1
Sewage is not cleared,Sewage,1
The problem is that people living near the vaccant land throw the garbage waste over here and make the place dirty. This has to be stopped by putting a dust bin nearby.,Waste/Garbage,1
Garages are there,Waste/Garbage,1
Garbages are there,Waste/Garbage,1
Black spot is there,Waste/Garbage,1
Garbage is there,Waste/Garbage,1
"Near THADHANKUPPAM to padi flyover bridge, 100 FEET ROAD there is a slope sand road which is not maintained for several years and because of rain the plastic bags came and became muddy.",Waste/Garbage,1
The problem is that people dump the garbage in nearby vaccant land and go off. This becomes a daily work to take the garbage in vaccant land by the garbage cleaners.,Waste/Garbage,1
"Don't waste ???? water
",Water,1
Black spot is there,Waste/Garbage,1
"Thermocol disposed in vacant land.it is a polluting material.please clear this
",Waste/Garbage,1
Garbage is there,Waste/Garbage,1
The problem is that people living in this locality dump the garbage here and leave itbas it is. The people crossing the street has been disturbed by the stinky smell.,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
It is making more pollution than other vehicles than the cars and bikes . And it is blocking the way,Air,1
Huge garbage dump in 8th cross btm first satge,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Garbage dump and construction debris,Waste/Garbage,1
Garbage is dumped near my home,Waste/Garbage,1
Mixed waste dump,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
Open drainage,Potholes,1
Garbage dump,Waste/Garbage,1
"Gutter guard is broken. It should be replaced   
as soon as possible to prevent accidents.",Potholes,1
Garbage  dumped,Waste/Garbage,1
This footpath needs to be repaired. It is badly damaged ,Water,1
Garbage is dumped near my home. It has to be cleaned ,Waste/Garbage,1
Garbage is dumped near my house. It has to be cleaned ,Waste/Garbage,1
Garbage dump,Waste/Garbage,1
This tubelight is not working. It has to be repaired or removed ,Streetlights,1
Traffic police should be humble and they should not be corrupted,Traffic/Parking,1
Creating of roadside dustbin,Waste/Garbage,1
This is one main reason why accidents happen...these manholes are created by the people who repair the drainage and leave it as it was....pls take some serious action...,Potholes,1
Coconut leaves on the cable wire  line,Streetlights,1
"The problem is that because of the sewage lines the water gets secrecated here and there on small holes and this causes many problem to the people by some diseases, mosquitos which give birth on water",Sewage,1
How would u feel when a accident occurs near u or a accident happens with u ???this is the reason????????I..if we repair this then the negative thought will never come..,Potholes,1
Worst road,Potholes,1
In a place near my house the garbage is not yet cleaned,Waste/Garbage,1
How do u feel when u will fall on the main road because of the uneven road??wouldn't u be angry...if u don't won't to be then we have to co operate and take severe action towards it...,Potholes,1
Take a very close look towards this picture...don't u fell like informing to the government???we have to because this has caused many accidents..till now no serious action is taken...,Potholes,1
Garbage burning near railway line,Waste/Garbage,1
Garbage is not in its place,Waste/Garbage,1
They dumping garbages in the vacant land it smells very bad,Waste/Garbage,1
"Garbage and other unwanted things r thrown and dumped in the vacant land which causes dieases and harmful things....It produces bad smell and misquotes will spread diseases.....
",Waste/Garbage,1
Garbage  are thrown here  .,Waste/Garbage,1
This area is very dirty,Waste/Garbage,1
Ushsuwh,Air,1
Garbage is dumped near my house.It has to be cleaned ,Waste/Garbage,1
Garbage. ,Waste/Garbage,1
Dumped right outside houses..ruins the beauty,Waste/Garbage,1
Manholes are not closed,Potholes,1
I was playing and I saw garbage dumped in an area. Mosquitoes were breeding and it was stinking and unhygienic. It was infectious and was looking ugly.,Waste/Garbage,1
Plastic disposal in vacant land.plastic is very bad for our environment.it reduces the water absorbing capacity of the soil.please don't dispose plastic in vacant lands or anywhere else out of dustbin,Waste/Garbage,1
This is a broken slide which was not fixed after floods. Lots of kids may get hurt by this.,Streetlights,1
Broken nets.,Streetlights,1
I was shocked to see this hole which was due to the bore work. This had been not treated for a long time. This hole was very deep and rain water was filled in it. This gave way for mosquito breeding .,Potholes,1
All sorts of wastes are thrown here.,Waste/Garbage,1
This is garbage thrown on roads ver y tuff to cross road.,Waste/Garbage,1
Open wires under a transformer is dangerous.,Streetlights,1
This water is due to the bore work. These cans filled with water was kept open in nights and it   was dangerous because mosquitoes could breed and small animals can drown in it. Roads were blocked.,Waste/Garbage,1
Garbage bags are thrown here..,Waste/Garbage,1
Garbage bags are thrown here.,Waste/Garbage,1
Sewage leaked in front of house.,Sewage,1
There is no foot path and it is hard for people to walk.,Traffic/Parking,1
Garbage and waterlogging is contaminating the water,Waste/Garbage,1
Garbage bags are thrown here  .,Waste/Garbage,1
Garbage is thrown in the place and produces a bad smell which causes headache and diseases are spread by insects...so I request u to take severe actions....,Waste/Garbage,1
Near road a water leak,Water,1
Cars are parked in no parking places which does not leaves any place to walk or play... so I request you to take action on it....,Traffic/Parking,1
"This was due to digging and this was left untreated. Rain water was filled and plastics were dumped in it. More dust was dumped and it was contaminated, unhygienic, infectious  and mosquito breeding. ",Waste/Garbage,1
"People use to pee beside the dustbins in the street corner and this is unhygienic, unhealthy, infectious, mosquitoes could breed and it would stink. This also looks awkward for the people who see this",Waste/Garbage,1
Footpaths are damaged badly.It has to be repaired or removed ,Water,1
Garbage is dumped near my house.It has to be cleaned ,Waste/Garbage,1
No collection of garbage and the bins are overflowing,Waste/Garbage,1
"The trees fall and they are put on the road , which create a lot of traffic",Waste/Garbage,1
Rain water in path holes led to mosquito breeding and his led to dengue and malaria,Potholes,1
From 5 years garbage had been dumped here and not been cleared  at all . This has reached to an height of 5 to 6 meters.,Waste/Garbage,1
Wrong parking makes accidents to people.If the public do wrong parking the traffic will be too much.,Traffic/Parking,1
"People throw dust and waste out of the dustbins in the street and this mainly contain plastics. Then animals like cats,dogs,cows,crows eat those plastics.",Waste/Garbage,1
Garbage dumped opp. to Tristar residency near nolumbur V-7 police station mogappair . Kindly clear them all.,Waste/Garbage,1
These roads aren't fixed properly and are a hindrance for the riders as these holes lead to SKITing of vehicles which in turn leads to roadside accidents.,Potholes,1
"Most of these wastes in my area are plastics which results in infiltration of water to ground .These plastic can harm the land and when it rains,the water get stagnant and mosquitos devolope in it.",Waste/Garbage,1
